因子,IC_Mean,IC_Std,IC_IR,IC_Win_Rate,IC_t_stat,Periods
EP,0.0767,0.1733,0.4427,0.6526,4.31,95
ProfitGrowth_YoY,0.0528,0.1539,0.3432,0.5895,3.34,95
Net_Profit_Margin,0.0363,0.109,0.3333,0.6526,3.25,95
ROE,0.0526,0.1674,0.3145,0.6526,3.06,95
BP,0.0459,0.1697,0.2705,0.6105,2.64,95
RevGrowth_YoY,0.0336,0.1386,0.2427,0.5579,2.37,95
VolChg_20D,0.0121,0.0954,0.1272,0.5106,1.23,94
Mom_12M_1M,0.0112,0.213,0.0525,0.5301,0.48,83
Mom_6M,-0.0067,0.204,-0.033,0.5281,-0.31,89
Debt_Ratio,-0.007,0.1333,-0.0527,0.4842,-0.51,95
PriceDev_20D,-0.0103,0.1626,-0.0635,0.4787,-0.62,94
Beta,-0.0181,0.2214,-0.0818,0.4574,-0.79,94
Mom_3M,-0.0289,0.1737,-0.1665,0.5217,-1.6,92
Mom_1M,-0.0294,0.1694,-0.1737,0.5,-1.68,94
Vol_60D,-0.046,0.1964,-0.234,0.383,-2.27,94
Vol_20D,-0.0433,0.177,-0.2445,0.3789,-2.38,95
